uid,Product Name,Genre,UPC,ASIN,Release Date,Publisher,Sell Game Price,Sell Complete Price
30844,Elite,Action & Adventure,4.75E+11,B000EUTMVO,,,54.99,67
11990,Excitebike,Racing,7.52492E+11,B0009KQMZI,10/1/85,Nintendo,3.99,7
12223,Exodus Journey to the Promised Land,RPG,,B001VA4UFY,1/1/91,,5.99,9
8928,F-117A Stealth Fighter,Other,19703157300,B00004SVPD,12/1/92,BPS,7.99,12
19760,F-15 City War,Action & Adventure,21619110010,B0009PX7HY,,,4.99,8
8929,F-15 Strike Eagle,Action & Adventure,19703150202,B00004SVPE,11/1/92,Romstar,4.99,8
8935,Family Feud,Other,43948560007,B00004SVPF,5/1/91,GT Interactive,7.99,11
12224,Family Fun Fitness Stadium Events,Sports,,,,,2729.99,3252
20424,Family Fun Fitness Stadium Events PAL,Action & Adventure,,,,,589.99,704
12225,Fantastic Adventures of Dizzy,Action & Adventure,,B000BYIK84,,Camerica,7.99,12
12226,Fantasy Zone,Action & Adventure,31763103127,B00004SVPG,1/1/89,Midway Entertainment,10.99,16
8939,Faria,RPG,93992010508,B00004SVPH,6/1/91,ASCII,38.99,48
12227,Fast Break,Basketball,4.7311E+11,B000B6E2TI,3/1/94,Accolade,1.99,4.99
12228,Fatal Fury Special,Fighting,,,,,1.99,4.99
13717,Faxanadu,Action & Adventure,45496630485,B00081RQ08,8/1/89,Hudson Soft,2.99,5
8948,Felix the Cat,Action & Adventure,39854000171,B00004SVPJ,10/1/92,Hudson Soft,35.99,45
8949,Ferrari Grand Prix Challenge,Racing,21481107026,B00004SVPK,6/1/92,LJN,2.99,6
8950,Fester's Quest,Action & Adventure,20763110075,B00004SVPL,10/1/89,Sunsoft,1.99,4.99
8970,Final Fantasy,RPG,45496630607,B00004SVXQ,10/1/90,Nintendo,14.99,20
12229,Firehawk,Action & Adventure,11161169666,B000HNPNXY,1/1/91,Camerica,3.99,6
8975,Fire 'N Ice,Puzzle,18946110172,B00004SVPM,1/1/92,Tecmo,95.99,116
8976,Fisher-Price Firehouse Rescue,Action & Adventure,43948500065,B00004SVPN,3/1/92,GT Interactive,8.99,13
12230,Fisher Price I Can Remember,Other,43948500034,B000ILF1X2,1/1/90,GameTek,1.99,4.99
12231,Fisher Price Perfect Fit,Other,43948500027,B001VHAQ9Q,,,2.99,5
12232,Fist of the North Star,Fighting,40886536996,B000AAELKA,1/1/89,Taxan,8.99,12
8981,Flight of the Intruder,Action & Adventure,50047105015,B00004SVPO,5/1/91,Mindscape,3.99,7
13107,Flintstones Surprise at Dino Peak,Action & Adventure,20588010727,B00004SVPQ,,Taito,1554.99,1853
8983,Flintstones The Rescue of Dino and Hoppy,Action & Adventure,20588010437,B00004SVPP,2/1/91,Taito,7.99,12
12234,Flying Dragon,Action & Adventure,47743890024,B00004SVPR,8/1/89,Sofel,1.99,5
12235,Flying Warriors,Action & Adventure,47743900068,B00004SVXR,2/1/91,Culture Brain,4.99,8
14550,Formula One Built To Win,Racing,92826900015,B00004SVPS,,Seta USA,10.99,15
12236,Frankenstein the Monster Returns,Action & Adventure,45557072506,B00004SVXS,7/1/91,Bandai,17.99,23
12237,Freedom Force,Action & Adventure,91199004863,B000XY1KI4,4/1/88,Sunsoft,1.99,5
12238,Friday the 13th,Action & Adventure,23582051628,B00004SVPT,2/1/89,LJN,2.99,6
12239,Fun House,Action & Adventure,87855000317,B00004SVPU,9/1/92,Hi-Tech Expr.,1.99,5
32330,Galactic Crusader,Action & Adventure,,B000Q7XDQA,1/1/90,,24.99,31
11991,Galaga: Demons of Death,Other,45557080006,B000E7KRM0,9/1/88,Bandai,4.99,8
12242,Galaxy 5000,Action & Adventure,47875700154,B00004SVY9,,"VLM Entertainment, Inc.",13.99,18
13192,Game Genie,Accessories,47246073566,B000FUIS40,,Galoob,19.99,26
9012,Gargoyle's Quest II The Demon Darkness,Action & Adventure,13388110292,B00004SVXE,12/1/94,Capcom,46.99,57
12243,Gauntlet,Action & Adventure,31763011125,B00004SVPX,1/1/85,Midway Entertainment,3.99,7
9013,Gauntlet II,Action & Adventure,50047104780,B000E7OOKG,9/1/90,Mindscape,2.99,5
9018,Gemfire,Strategy,40198000369,B00004SVPY,9/1/93,Koei,67.99,83
12244,Genghis Khan,Action & Adventure,40198000093,B00004SVPZ,3/1/90,Koei,8.99,13
9025,George Foreman's KO Boxing,Sports,21481107033,B00004SVPV,12/1/92,LJN,2.99,6
12245,Ghostbusters,Action & Adventure,47875701083,B000AZ86LA,10/1/88,ACTIVISION,5.99,9
9032,Ghostbusters II,Action & Adventure,47875700062,B000G856H8,4/1/90,Nintendo,2.99,6
9029,Ghost Lion,RPG,7.41648E+11,B000EBP83O,3/1/89,Kemco,20.99,27
11992,Ghosts 'n Goblins,Action & Adventure,13388110025,B000I1ZIQC,11/1/86,Nintendo,7.99,11
9033,Ghoul School,Action & Adventure,99451041755,B000GBPBPW,3/1/92,Electro Brain Corp.,10.99,15
12240,G.I. Joe: A Real American Hero,Action & Adventure,1.50115E+11,B000E7QO22,,Taxan,20.99,27
9034,GI Joe The Atlantis Factor,Action & Adventure,13388110322,B00004SVPW,12/1/91,Capcom,16.99,22
