guid,title,ASIN,Cart Price,Complete Price,Genre,UPC,Publisher,Release Date
13107,Flintstones Surprise at Dino Peak,B00004SVPQ,1554.99,1853,Action & Adventure,20588010727,Taito,
8983,Flintstones The Rescue of Dino and Hoppy,B00004SVPP,7.99,12,Action & Adventure,20588010437,Taito,2/1/91
12234,Flying Dragon,B00004SVPR,1.99,5,Action & Adventure,47743890024,Sofel,8/1/89
12235,Flying Warriors,B00004SVXR,4.99,8,Action & Adventure,47743900068,Culture Brain,2/1/91
14550,Formula One Built To Win,B00004SVPS,10.99,15,Racing,92826900015,Seta USA,
12236,Frankenstein the Monster Returns,B00004SVXS,17.99,23,Action & Adventure,45557072506,Bandai,7/1/91
12237,Freedom Force,B000XY1KI4,1.99,5,Action & Adventure,91199004863,Sunsoft,4/1/88
12238,Friday the 13th,B00004SVPT,2.99,6,Action & Adventure,23582051628,LJN,2/1/89
12239,Fun House,B00004SVPU,1.99,5,Action & Adventure,87855000317,Hi-Tech Expr.,9/1/92
32330,Galactic Crusader,B000Q7XDQA,24.99,31,Action & Adventure,,,1/1/90
11991,Galaga: Demons of Death,B000E7KRM0,4.99,8,Other,45557080006,Bandai,9/1/88
12242,Galaxy 5000,B00004SVY9,13.99,18,Action & Adventure,47875700154,"VLM Entertainment, Inc.",
13192,Game Genie,B000FUIS40,19.99,26,Accessories,47246073566,Galoob,
9012,Gargoyle's Quest II The Demon Darkness,B00004SVXE,46.99,57,Action & Adventure,13388110292,Capcom,12/1/94
12243,Gauntlet,B00004SVPX,3.99,7,Action & Adventure,31763011125,Midway Entertainment,1/1/85
9013,Gauntlet II,B000E7OOKG,2.99,5,Action & Adventure,50047104780,Mindscape,9/1/90
9018,Gemfire,B00004SVPY,67.99,83,Strategy,40198000369,Koei,9/1/93
12244,Genghis Khan,B00004SVPZ,8.99,13,Action & Adventure,40198000093,Koei,3/1/90
9025,George Foreman's KO Boxing,B00004SVPV,2.99,6,Sports,21481107033,LJN,12/1/92
12245,Ghostbusters,B000AZ86LA,5.99,9,Action & Adventure,47875701083,ACTIVISION,10/1/88
9032,Ghostbusters II,B000G856H8,2.99,6,Action & Adventure,47875700062,Nintendo,4/1/90
9029,Ghost Lion,B000EBP83O,20.99,27,RPG,7.41648E+11,Kemco,3/1/89
11992,Ghosts 'n Goblins,B000I1ZIQC,7.99,11,Action & Adventure,13388110025,Nintendo,11/1/86
9033,Ghoul School,B000GBPBPW,10.99,15,Action & Adventure,99451041755,Electro Brain Corp.,3/1/92
12240,G.I. Joe: A Real American Hero,B000E7QO22,20.99,27,Action & Adventure,1.50115E+11,Taxan,
